Date,"Cuttlefish"
2018-08-03,1472
2018-08-04,1422
2018-08-05,1843
2018-08-06,1566
2018-08-07,1632
2018-08-08,1362
2018-08-09,1355
2018-08-10,1316
2018-08-11,1533
2018-08-12,1489
2018-08-13,1321
2018-08-14,1369
2018-08-15,1396
2018-08-16,1385
2018-08-17,1299
2018-08-18,1301
2018-08-19,1484
2018-08-20,1445
2018-08-21,1336
2018-08-22,1359
2018-08-23,1385
2018-08-24,1716
2018-08-25,1365
2018-08-26,1536
2018-08-27,1490
2018-08-28,1388
2018-08-29,1441
2018-08-30,1350
2018-08-31,1240
2018-09-01,1223
2018-09-02,1408
2018-09-03,1401
2018-09-04,1464
2018-09-05,1307
2018-09-06,1342
2018-09-07,1737
2018-09-08,1294
2018-09-09,1384
2018-09-10,1238
2018-09-11,1258
2018-09-12,1246
2018-09-13,1178
2018-09-14,1224
2018-09-15,3911
2018-09-16,2036
2018-09-17,1565
2018-09-18,1336
2018-09-19,1365
2018-09-20,1760
2018-09-21,1624
2018-09-22,1418
2018-09-23,1403
2018-09-24,1455
2018-09-25,1461
2018-09-26,1301
2018-09-27,1381
2018-09-28,1902
2018-09-29,1313
2018-09-30,1357
2018-10-01,1331
2018-10-02,1464
2018-10-03,1939
2018-10-04,1790
2018-10-05,1267
2018-10-06,1175
2018-10-07,1295
2018-10-08,1309
2018-10-09,1371
2018-10-10,1351
2018-10-11,1364
2018-10-12,1502
2018-10-13,1134
2018-10-14,1960
2018-10-15,1424
2018-10-16,1352
2018-10-17,1344
2018-10-18,1569
2018-10-19,1374
2018-10-20,1176
2018-10-21,1351
2018-10-22,1428
2018-10-23,1293
2018-10-24,1164
2018-10-25,1227
2018-10-26,1311
2018-10-27,1282
2018-10-28,1086
2018-10-29,1309
2018-10-30,1537
2018-10-31,1255
2018-11-01,1327
2018-11-02,1354
2018-11-03,1310
2018-11-04,1272
2018-11-05,1848
2018-11-06,1375
2018-11-07,1179
2018-11-08,1329
2018-11-09,1241
2018-11-10,1240
2018-11-11,1274
2018-11-12,1294
2018-11-13,1256
2018-11-14,1349
2018-11-15,1419
2018-11-16,1421
2018-11-17,1391
2018-11-18,1406
2018-11-19,1486
2018-11-20,1371
2018-11-21,1417
2018-11-22,1293
2018-11-23,1288
2018-11-24,1482
2018-11-25,1229
2018-11-26,1292
2018-11-27,1542
2018-11-28,1405
2018-11-29,1338
2018-11-30,1248
2018-12-01,1166
2018-12-02,1378
2018-12-03,1407
2018-12-04,1421
2018-12-05,1423
2018-12-06,1283
2018-12-07,1356
2018-12-08,1226
2018-12-09,1382
2018-12-10,1425
2018-12-11,1398
2018-12-12,1613
2018-12-13,1470
2018-12-14,1669
2018-12-15,1369
2018-12-16,1749
2018-12-17,1493
2018-12-18,1356
2018-12-19,1408
2018-12-20,1263
2018-12-21,1232
2018-12-22,1159
2018-12-23,1396
2018-12-24,1437
2018-12-25,1321
2018-12-26,1354
2018-12-27,1420
2018-12-28,1272
2018-12-29,1366
2018-12-30,1661
2018-12-31,1433
2019-01-01,1341
2019-01-02,1537
2019-01-03,2238
2019-01-04,1530
2019-01-05,1471
2019-01-06,1683
2019-01-07,1623
2019-01-08,1705
2019-01-09,1534
2019-01-10,1689
2019-01-11,1598
2019-01-12,1554
2019-01-13,1588
2019-01-14,1578
2019-01-15,1955
2019-01-16,1557
2019-01-17,1530
2019-01-18,1603
2019-01-19,1827
2019-01-20,2723
2019-01-21,1885
2019-01-22,1602
2019-01-23,1573
2019-01-24,1683
2019-01-25,1440
2019-01-26,1532
2019-01-27,1524
2019-01-28,1579
2019-01-29,1496
2019-01-30,1545
2019-01-31,1554
2019-02-01,1606
2019-02-02,1642
2019-02-03,1694
2019-02-04,1970
2019-02-05,1475
2019-02-06,1456
2019-02-07,1497
2019-02-08,1619
2019-02-09,1591
2019-02-10,2159
2019-02-11,1667
2019-02-12,1507
2019-02-13,1617
2019-02-14,1821
2019-02-15,1602
2019-02-16,1684
2019-02-17,1912
2019-02-18,1602
2019-02-19,1591
2019-02-20,1465
2019-02-21,1668
2019-02-22,1621
2019-02-23,2013
2019-02-24,2215
2019-02-25,2182
2019-02-26,1634
2019-02-27,1642
2019-02-28,1507
2019-03-01,1769
2019-03-02,1609
2019-03-03,2568
2019-03-04,1678
2019-03-05,1659
2019-03-06,1706
2019-03-07,1664
2019-03-08,1691
2019-03-09,1579
2019-03-10,1756
2019-03-11,2809
2019-03-12,2140
2019-03-13,1627
2019-03-14,1666
2019-03-15,1741
2019-03-16,2243
2019-03-17,1842
2019-03-18,1576
2019-03-19,1558
2019-03-20,1476
2019-03-21,1620
2019-03-22,1837
2019-03-23,2042
2019-03-24,2138
2019-03-25,1757
2019-03-26,1974
2019-03-27,1587
